vividseatsID,vividseatsTitle,vividseatsPrice
VIVID - 473,Seattle Mariners at Colorado Rockies,90
VIVID - 474,Atlanta Braves at Colorado Rockies,62
VIVID - 475,Milwaukee Brewers at Colorado Rockies,54
VIVID - 476,Los Angeles Angels of Anaheim at Colorado Rockies,35
VIVID - 477,Pittsburgh Pirates at Colorado Rockies,53
VIVID - 478,New York Mets at Colorado Rockies,80
VIVID - 479,Oakland Athletics at Colorado Rockies,118
VIVID - 480,Chicago Cubs at Colorado Rockies,110
VIVID - 481,Houston Astros at Colorado Rockies,58
VIVID - 482,Philadelphia Phillies at Colorado Rockies,51
VIVID - 483,Miami Marlins at Colorado Rockies,62
VIVID - 484,San Francisco Giants at Houston Astros,61
VIVID - 485,Washington Nationals at Houston Astros,93
VIVID - 486,St. Louis Cardinals at Houston Astros,96
VIVID - 487,Philadelphia Phillies at Houston Astros,62
VIVID - 488,Milwaukee Brewers at Houston Astros,121
VIVID - 489,San Diego Padres at Houston Astros,77
VIVID - 490,Chicago Cubs at Houston Astros,76
VIVID - 491,Cincinnati Reds at Houston Astros,51
VIVID - 492,Pittsburgh Pirates at Houston Astros,59
VIVID - 493,Los Angeles Dodgers at Houston Astros,52
VIVID - 494,Texas Rangers at Houston Astros,92
VIVID - 495,Miami Marlins at Houston Astros,70
VIVID - 496,New York Mets at Houston Astros,40
VIVID - 497,Cleveland Indians at Houston Astros,93
VIVID - 498,Arizona Diamondbacks at Houston Astros,60
VIVID - 499,Kansas City Royals at Houston Astros,58
VIVID - 500,Seattle Mariners at Oakland Athletics,110
VIVID - 501,Los Angeles Angels of Anaheim at Oakland Athletics,96
VIVID - 502,Texas Rangers at Oakland Athletics,77
VIVID - 503,Baltimore Orioles at Oakland Athletics,55
VIVID - 504,Toronto Blue Jays at Oakland Athletics,51
VIVID - 505,Boston Red Sox at Oakland Athletics,66
VIVID - 506,Detroit Tigers at Oakland Athletics,107
VIVID - 507,Chicago White Sox at Oakland Athletics,56
VIVID - 508,Cleveland Indians at Oakland Athletics,55
VIVID - 509,Tampa Bay Rays at Oakland Athletics,57
VIVID - 510,Los Angeles Dodgers at Oakland Athletics,103
VIVID - 511,San Diego Padres at Oakland Athletics,45
VIVID - 512,New York Yankees at Oakland Athletics,92
VIVID - 513,Minnesota Twins at Oakland Athletics,94
VIVID - 514,San Francisco Giants at Oakland Athletics,78
VIVID - 515,Kansas City Royals at Oakland Athletics,51
VIVID - 516,Spring Training - Chicago Cubs at Cincinnati Reds,85
VIVID - 517,Spring Training - Cleveland Indians at Cincinnati Reds,99
VIVID - 518,Spring Training - San Diego Padres at Cincinnati Reds,100
VIVID - 519,Spring Training - Seattle Mariners at Cincinnati Reds,67
VIVID - 520,Spring Training - Texas Rangers at Cincinnati Reds,72
VIVID - 521,Spring Training - Colorado Rockies at Cincinnati Reds,73
VIVID - 522,Spring Training - Arizona Diamondbacks at Cincinnati Reds,104
VIVID - 523,Spring Training - Kansas City Royals at Cincinnati Reds,63
VIVID - 524,Spring Training - Los Angeles Angels of Anaheim at Cincinnati Reds,134
VIVID - 525,Spring Training - San Francisco Giants at Cincinnati Reds,42
VIVID - 526,Spring Training - Chicago White Sox at Cincinnati Reds,70
VIVID - 527,Spring Training - Los Angeles Dodgers at Cincinnati Reds (Split Squad),65
VIVID - 528,Exhibition - Pittsburgh Pirates at Philadelphia Phillies,54
VIVID - 529,Colorado Rockies at Houston Astros,61
VIVID - 530,Spring Training - San Francisco Giants at Chicago White Sox,69
VIVID - 531,Spring Training - Cleveland Indians at Chicago White Sox,73
VIVID - 532,Spring Training - Los Angeles Dodgers at Chicago White Sox,52
VIVID - 533,Spring Training - Milwaukee Brewers at Chicago White Sox,101
VIVID - 534,Spring Training - Milwaukee Brewers at Los Angeles Dodgers,57
VIVID - 535,Spring Training - Kansas City Royals at Chicago White Sox,90
VIVID - 536,Spring Training - Colorado Rockies at Los Angeles Dodgers,69
VIVID - 537,Spring Training - Texas Rangers at Los Angeles Dodgers,65
VIVID - 538,Spring Training - Chicago Cubs at Chicago White Sox,122
VIVID - 539,Spring Training - San Diego Padres at Chicago White Sox,91
VIVID - 540,Spring Training - Chicago Cubs at Los Angeles Dodgers,49
VIVID - 541,Spring Training - Cleveland Indians at Los Angeles Dodgers,74
VIVID - 542,Spring Training - Chicago White Sox at Los Angeles Dodgers,53
VIVID - 543,Spring Training - San Francisco Giants at Los Angeles Dodgers,74
VIVID - 544,Spring Training - Arizona Diamondbacks at Los Angeles Dodgers,62
VIVID - 545,Spring Training - San Diego Padres at Los Angeles Dodgers,75
VIVID - 546,Spring Training - Oakland Athletics at Chicago White Sox,120
VIVID - 547,Spring Training - Arizona Diamondbacks at Chicago White Sox,57
VIVID - 548,Spring Training - Los Angeles Angels of Anaheim at Chicago White Sox,105
VIVID - 549,Spring Training - Seattle Mariners at Chicago White Sox,57
VIVID - 550,Spring Training - Oakland Athletics at Los Angeles Dodgers,73
VIVID - 551,Spring Training - Cincinnati Reds at Chicago White Sox,122
VIVID - 552,Spring Training - Colorado Rockies at Chicago White Sox,47
VIVID - 553,Pittsburgh Pirates at Los Angeles Dodgers,110
VIVID - 554,Atlanta Braves at Houston Astros,96
VIVID - 555,Spring Training - Washington Nationals at Houston Astros,80
VIVID - 556,Spring Training - Pittsburgh Pirates at Houston Astros,45
VIVID - 557,Spring Training - Philadelphia Phillies at Houston Astros,47
VIVID - 558,Spring Training - Detroit Tigers at Houston Astros,56
VIVID - 559,Spring Training - New York Mets at Houston Astros,94
VIVID - 560,Spring Training - Atlanta Braves at Houston Astros,75
VIVID - 561,Spring Training - Toronto Blue Jays at Houston Astros,64
VIVID - 562,Spring Training - St. Louis Cardinals at Houston Astros,63
VIVID - 563,Spring Training - New York Yankees at Houston Astros,80
VIVID - 564,2012 Chicago Cubs Convention - 3 Day Pass,87
VIVID - 565,Seattle Mariners at Arizona Diamondbacks,49
VIVID - 566,Spring Training - TBD at Los Angeles Dodgers,55
VIVID - 567,Spring Training - Detroit Tigers at Atlanta Braves,85
VIVID - 568,Spring Training - Houston Astros at Atlanta Braves,114
VIVID - 569,Spring Training - New York Mets at Atlanta Braves,56
VIVID - 570,Spring Training - Washington Nationals at Atlanta Braves,76
VIVID - 571,Spring Training - Baltimore Orioles at Atlanta Braves,101
VIVID - 572,Spring Training - St. Louis Cardinals at Atlanta Braves,90
VIVID - 573,Spring Training - New York Yankees at Atlanta Braves,100
VIVID - 574,Spring Training - Philadelphia Phillies at Atlanta Braves,86
VIVID - 575,Spring Training - Arizona Diamondbacks at Colorado Rockies,74
VIVID - 576,Spring Training - San Francisco Giants at Colorado Rockies,88
VIVID - 577,Spring Training - Cincinnati Reds at Colorado Rockies,36
VIVID - 578,Spring Training - San Diego Padres at Colorado Rockies,59
VIVID - 579,Spring Training - Chicago Cubs at Colorado Rockies,138
VIVID - 580,Spring Training - Seattle Mariners at Colorado Rockies,56
VIVID - 581,Spring Training - Arizona Diamondbacks at Colorado Rockies (Split Squad),50
VIVID - 582,Spring Training - Los Angeles Dodgers at Colorado Rockies,80
VIVID - 583,Spring Training - Kansas City Royals at Colorado Rockies,44
VIVID - 584,Spring Training - Los Angeles Angels of Anaheim at Colorado Rockies,45
VIVID - 585,Spring Training - Oakland Athletics at Colorado Rockies,89
VIVID - 586,Spring Training - Chicago White Sox at Colorado Rockies,75
VIVID - 587,Spring Training - Texas Rangers at Colorado Rockies,64
VIVID - 588,Spring Training - Cleveland Indians at Colorado Rockies,68
VIVID - 589,Spring Training - Pittsburgh Pirates at Toronto Blue Jays,80
VIVID - 590,Spring Training - Philadelphia Phillies at Toronto Blue Jays,49
VIVID - 591,Spring Training - Boston Red Sox at Toronto Blue Jays,79
VIVID - 592,Spring Training - Baltimore Orioles at Toronto Blue Jays,59
VIVID - 593,Spring Training - Tampa Bay Rays at Toronto Blue Jays,96
VIVID - 594,Spring Training - New York Yankees at Toronto Blue Jays,94
VIVID - 595,Spring Training - Detroit Tigers at Toronto Blue Jays,62
VIVID - 596,Spring Training - Houston Astros at Toronto Blue Jays,90
VIVID - 597,Spring Training - Atlanta Braves at Toronto Blue Jays,34
VIVID - 598,Spring Training - Minnesota Twins at Toronto Blue Jays,62
VIVID - 599,Spring Training - Detroit Tigers at New York Yankees,41
VIVID - 600,Spring Training - Houston Astros at New York Yankees,80
VIVID - 601,Spring Training - Minnesota Twins at New York Yankees,119
VIVID - 602,Spring Training - Boston Red Sox at New York Yankees,81
VIVID - 603,Spring Training - Washington Nationals at New York Yankees,75
VIVID - 604,Spring Training - Toronto Blue Jays at New York Yankees,86
VIVID - 605,Spring Training - New York Mets at New York Yankees,55
VIVID - 606,Spring Training - Philadelphia Phillies at New York Yankees,37
VIVID - 607,Spring Training - Atlanta Braves at New York Yankees,86
VIVID - 608,Spring Training - Tampa Bay Rays at New York Yankees,105
VIVID - 609,Spring Training - Baltimore Orioles at New York Yankees,84
VIVID - 610,Spring Training - Pittsburgh Pirates at New York Yankees,94
VIVID - 611,Spring Training - Miami Marlins at Atlanta Braves,63
VIVID - 612,Spring Training - Toronto Blue Jays at Atlanta Braves,97
VIVID - 613,MLB Exhibition - Milwaukee Brewers at Arizona Diamondbacks,67
VIVID - 614,Spring Training - San Diego Padres at Cincinnati Reds (Split Squad),95
VIVID - 615,Spring Training - Atlanta Braves at New York Mets,87
VIVID - 616,Spring Training - Washington Nationals at New York Mets,95
VIVID - 617,Spring Training - Houston Astros at New York Mets,115
VIVID - 618,Spring Training - St. Louis Cardinals at New York Mets,55
VIVID - 619,Spring Training - Detroit Tigers at New York Mets,82
VIVID - 620,Spring Training - Miami Marlins at New York Mets,85
VIVID - 621,Spring Training - St. Louis Cardinals at New York Mets (Split Squad),64
VIVID - 622,Spring Training - New York Yankees at New York Mets,68
VIVID - 623,Spring Training - Milwaukee Brewers at Oakland Athletics,34
VIVID - 624,Spring Training - Seattle Mariners at Oakland Athletics,66
VIVID - 625,Spring Training - Chicago Cubs at Oakland Athletics (Split Squad),52
VIVID - 626,Spring Training - Los Angeles Angels of Anaheim at Oakland Athletics (Split Squad),48
VIVID - 627,Spring Training - Arizona Diamondbacks at Oakland Athletics,130
VIVID - 628,Spring Training - Los Angeles Dodgers at Oakland Athletics,101
VIVID - 629,Spring Training - Cincinnati Reds at Oakland Athletics,102
VIVID - 630,Spring Training - Kansas City Royals at Oakland Athletics,58
VIVID - 631,Spring Training - Chicago Cubs at Oakland Athletics,66
VIVID - 632,Spring Training - Miami Marlins at Houston Astros,58
VIVID - 633,Spring Training - Chicago Cubs at Arizona Diamondbacks,59
VIVID - 634,Spring Training - Los Angeles Angels of Anaheim at Arizona Diamondbacks,114
VIVID - 635,Spring Training - Chicago White Sox at Arizona Diamondbacks,60
VIVID - 636,Spring Training - Colorado Rockies at Arizona Diamondbacks,49
VIVID - 637,Spring Training - San Francisco Giants at Arizona Diamondbacks,50
VIVID - 638,Spring Training - Texas Rangers at Arizona Diamondbacks,59
VIVID - 639,Spring Training - Cleveland Indians at Arizona Diamondbacks,49
VIVID - 640,Spring Training - Seattle Mariners at Arizona Diamondbacks,66
VIVID - 641,Spring Training - Milwaukee Brewers at Arizona Diamondbacks,74
VIVID - 642,Spring Training - Kansas City Royals at Arizona Diamondbacks,96
VIVID - 643,Exhibition - Oakland Athletics at San Francisco Giants,53
VIVID - 644,Spring Training - Tampa Bay Rays at Minnesota Twins,77
VIVID - 645,Spring Training - Toronto Blue Jays at Minnesota Twins,39
VIVID - 646,Spring Training - Baltimore Orioles at Minnesota Twins,76
VIVID - 647,Spring Training - Pittsburgh Pirates at Minnesota Twins,85
VIVID - 648,Spring Training - Boston Red Sox at Minnesota Twins,51
VIVID - 649,Spring Training - St. Louis Cardinals at Minnesota Twins,87
VIVID - 650,Spring Training - Philadelphia Phillies at Minnesota Twins,98
VIVID - 651,Spring Training - New York Yankees at Minnesota Twins,127
VIVID - 652,San Francisco Giants at Oakland Athletics (Exhibition),57
VIVID - 653,Spring Training - Milwaukee Brewers at Chicago Cubs,86
VIVID - 654,Spring Training - Cincinnati Reds at Chicago Cubs,48
VIVID - 655,Spring Training - San Diego Padres at Chicago Cubs (Split Squad),109
VIVID - 656,Spring Training - San Francisco Giants at Chicago Cubs,103
VIVID - 657,Spring Training - Oakland Athletics at Chicago Cubs,48
VIVID - 658,Spring Training - Arizona Diamondbacks at Chicago Cubs,116
VIVID - 659,Spring Training - Chicago White Sox at Chicago Cubs (Split Squad),75
VIVID - 660,Spring Training - Oakland Athletics at Chicago Cubs (Split Squad),87
VIVID - 661,Spring Training - Seattle Mariners at Chicago Cubs,98
VIVID - 662,Spring Training - Colorado Rockies at Chicago Cubs,58
VIVID - 663,Spring Training - Cleveland Indians at Chicago Cubs,80
VIVID - 664,Spring Training - Los Angeles Dodgers at Chicago Cubs,45
VIVID - 665,Spring Training - Texas Rangers at Chicago Cubs (Split Squad),111
VIVID - 666,Spring Training - Los Angeles Angels of Anaheim at Chicago Cubs,89
VIVID - 667,Spring Training - San Diego Padres at Chicago Cubs,67
VIVID - 668,Spring Training - Miami Marlins at Tampa Bay Rays,109
VIVID - 669,Spring Training - Baltimore Orioles at Tampa Bay Rays,59
VIVID - 670,Spring Training - Minnesota Twins at Tampa Bay Rays,83
VIVID - 671,Spring Training - Philadelphia Phillies at Tampa Bay Rays,50
VIVID - 672,Spring Training - Boston Red Sox at Tampa Bay Rays,43
VIVID - 673,Spring Training - Pittsburgh Pirates at Tampa Bay Rays,76
VIVID - 674,Spring Training - New York Yankees at Tampa Bay Rays,95
VIVID - 675,Spring Training - Toronto Blue Jays at Tampa Bay Rays,69
VIVID - 676,Spring Training - Detroit Tigers at Tampa Bay Rays (Split Squad),80
VIVID - 677,Spring Training - Philadelphia Phillies at Detroit Tigers,86
VIVID - 678,Spring Training - New York Mets at Detroit Tigers,102
VIVID - 679,Spring Training - Toronto Blue Jays at Detroit Tigers,62
VIVID - 680,Spring Training - Miami Marlins at Detroit Tigers,85
VIVID - 681,Spring Training - St. Louis Cardinals at Detroit Tigers,50
VIVID - 682,Spring Training - Atlanta Braves at Detroit Tigers,43
VIVID - 683,Spring Training - Baltimore Orioles at Detroit Tigers,87
VIVID - 684,Spring Training - Washington Nationals at Detroit Tigers,80
VIVID - 685,Spring Training - Houston Astros at Detroit Tigers,65
VIVID - 686,Spring Training - Minnesota Twins at Detroit Tigers,77
VIVID - 687,Spring Training - New York Yankees at Detroit Tigers,63
VIVID - 688,Spring Training - Minnesota Twins at St. Louis Cardinals,123
VIVID - 689,Spring Training - Miami Marlins at St. Louis Cardinals,77
VIVID - 690,Spring Training - Washington Nationals at St. Louis Cardinals,102
VIVID - 691,Spring Training - Detroit Tigers at St. Louis Cardinals,95
VIVID - 692,Spring Training - New York Mets at St. Louis Cardinals,80
VIVID - 693,Spring Training - Atlanta Braves at St. Louis Cardinals,45
VIVID - 694,Spring Training - Houston Astros at St. Louis Cardinals,32
VIVID - 695,Spring Training - Boston Red Sox at St. Louis Cardinals,64
VIVID - 696,Spring Training - St. Louis Cardinals at Miami Marlins,76
